vertex,out-degree
0,11
1,5
2,4
3,7
4,11
5,5
6,9
7,4
8,12
9,5
10,7
11,3
12,8
13,9
14,6
15,6
16,5
17,6
18,6
19,2
20,4
21,4
22,8
23,9
24,2
25,4
26,8
27,9
28,9
29,5
30,5
31,4
32,3
33,7
34,11
35,7
36,5
37,4
38,9
39,7
40,5
41,3
42,4
43,5
44,7
45,5
46,3
47,5
48,6
49,11
50,12
51,4
52,11
53,4
54,6
55,13
56,5
57,4
58,6
59,3
60,7
61,5
62,6
63,7
64,11
65,6
66,6
67,7
68,3
69,4
70,7
71,10
72,9
73,7
74,8
75,9
76,8
77,8
78,5
79,7
80,9
81,8
82,6
83,11
84,13
85,4
86,6
87,3
88,5
89,7
90,12
91,5
92,10
93,8
94,5
95,9
96,6
97,8
98,8
99,6
100,6
101,6
102,4
103,10
104,5
105,5
106,6
107,4
108,5
109,4
110,10
111,5
112,5
113,9
114,6
115,11
116,3
117,7
118,7
119,4
120,5
121,10
122,11
123,9
124,6
125,3
126,9
127,4
128,12
129,5
130,10
131,5
132,7
133,3
134,1
135,5
136,4
137,8
138,6
139,8
140,12
141,9
142,5
143,5
144,9
145,8
146,2
147,4
148,9
149,12
150,6
151,6
152,9
153,10
154,9
155,7
156,11
157,8
158,4
159,6
160,8
161,3
162,8
163,3
164,13
165,8
166,6
167,11
168,5
169,4
170,9
171,7
172,2
173,9
174,8
175,4
176,5
177,5
178,3
179,8
180,6
181,5
182,7
183,3
184,4
185,3
186,7
187,7
188,10
189,4
190,5
191,9
192,6
193,12
194,8
195,4
196,4
197,7
198,7
199,3
200,5
201,4
202,3
203,4
204,7
205,8
206,10
207,8
208,7
209,6
210,3
211,9
212,8
213,9
214,10
215,6
216,6
217,6
218,15
219,9
220,13
221,6
222,2
223,7
224,2
225,6
226,10
227,5
228,9
229,8
230,7
231,10
232,9
233,7
234,12
235,9
236,8
237,8
238,4
239,3
240,7
241,13
242,14
243,11
244,7
245,9
246,3
247,3
248,7
249,8
250,7
251,10
252,9
253,7
254,9
255,8
256,5
257,7
258,8
259,11
260,10
261,6
262,6
263,9
264,9
265,11
266,7
267,4
268,6
269,4
270,10
271,12
272,3
273,6
274,4
275,6
276,6
277,7
278,5
279,5
280,13
281,7
282,1
283,6
284,12
285,14
286,6
287,4
288,8
289,6
290,4
291,7
292,3
293,11
294,8
295,6
296,10
297,5
298,5
299,7
300,8
301,1
302,6
303,9
304,7
305,6
306,9
307,9
308,5
309,5
310,6
311,2
312,9
313,4
314,3
315,6
316,8
317,7
318,4
319,4
320,6
321,10
322,6
323,4
324,7
325,11
326,9
327,8
328,6
329,8
330,12
331,5
332,8
333,11
334,3
335,5
336,6
337,8
338,12
339,14
340,7
341,5
342,9
343,6
344,5
345,9
346,10
347,7
348,3
349,7
350,10
351,6
352,5
353,7
354,8
355,6
356,5
357,3
358,11
359,6
360,7
361,3
362,5
363,5
364,5
365,15
366,11
367,6
368,3
369,2
370,4
371,2
372,7
373,5
374,5
375,6
376,7
377,9
378,6
379,12
380,8
381,8
382,11
383,4
384,3
385,10
386,4
387,6
388,9
389,10
390,7
391,5
392,8
393,6
394,5
395,5
396,6
397,6
398,4
399,0
400,8
401,6
402,10
403,7
404,5
405,10
406,5
407,6
408,5
409,3
410,8
411,5
412,9
413,8
414,8
415,12
416,7
417,12
418,6
419,5
420,8
421,7
422,7
423,7
424,10
425,8
426,5
427,8
428,6
429,8
430,6
431,7
432,8
433,11
434,7
435,5
436,7
437,4
438,10
439,11
440,7
441,8
442,6
443,5
444,2
445,7
446,8
447,4
448,4
449,11
450,7
451,4
452,4
453,5
454,6
455,8
456,8
457,8
458,10
459,2
460,9
461,7
462,8
463,3
464,7
465,5
466,4
467,5
468,12
469,9
470,8
471,10
472,10
473,10
474,5
475,6
476,9
477,7
478,5
479,7
480,5
481,8
482,6
483,6
484,8
485,3
486,5
487,10
488,7
489,4
490,4
491,2
492,7
493,7
494,12
495,8
496,6
497,8
498,11
499,8
500,2
501,7
502,7
503,9
504,4
505,9
506,6
507,6
508,6
509,7
510,9
511,8
512,4
513,9
514,8
515,11
516,6
517,5
518,9
519,12
520,8
521,7
522,5
523,8
524,10
525,7
526,12
527,6
528,9
529,8
530,7
531,5
532,6
533,6
534,7
535,7
536,4
537,12
538,7
539,6
540,6
541,7
542,7
543,3
544,7
545,7
546,4
547,8
548,5
549,10
550,9
551,3
552,6
553,6
554,4
555,7
556,8
557,11
558,6
559,8
560,8
561,5
562,8
563,9
564,10
565,11
566,9
567,3
568,6
569,6
570,4
571,11
572,4
573,2
574,7
575,8
576,4
577,10
578,4
579,6
580,10
581,7
582,10
583,9
584,7
585,8
586,7
587,6
588,4
589,11
590,6
591,5
592,8
593,9
594,7
595,5
596,6
597,2
598,7
599,7
600,9
601,6
602,11
603,5
604,12
605,6
606,15
607,9
608,4
609,6
610,4
611,3
612,7
613,3
614,8
615,4
616,10
617,10
618,9
619,9
620,10
621,4
622,5
623,8
624,5
625,12
626,9
627,14
628,9
629,10
630,13
631,3
632,8
633,10
634,10
635,7
636,3
637,8
638,10
639,9
640,11
641,6
642,7
643,5
644,6
645,6
646,6
647,5
648,6
649,5
650,6
651,6
652,5
653,6
654,7
655,12
656,8
657,4
658,5
659,4
660,3
661,4
662,3
663,10
664,7
665,9
666,7
667,4
668,6
669,11
670,5
671,9
672,8
673,8
674,7
675,8
676,4
677,7
678,8
679,8
680,15
681,13
682,10
683,8
684,10
685,7
686,5
687,6
688,9
689,8
690,7
691,6
692,11
693,3
694,6
695,8
696,6
697,5
698,11
699,9
700,6
701,2
702,6
703,7
704,4
705,11
706,5
707,5
708,11
709,7
710,7
711,3
712,7
713,6
714,5
715,7
716,12
717,6
718,7
719,3
720,6
721,7
722,10
723,10
724,7
725,9
726,4
727,5
728,6
729,8
730,5
731,7
732,7
733,7
734,7
735,7
736,7
737,8
