vertex,out-degree,in-degree
1.14.27.28,8,6
1.16.238.43,2,6
1.20.193.167,10,6
1.21.194.179,5,10
1.36.210.131,11,3
1.40.215.157,11,7
1.47.229.28,7,3
1.48.45.188,6,1
1.53.5.241,4,2
1.55.150.80,4,15
1.62.196.242,4,8
1.63.36.106,7,1
1.63.133.80,4,8
1.66.203.143,4,10
1.74.116.86,9,4
1.75.181.96,8,6
1.76.163.138,5,2
1.96.237.110,4,9
1.97.91.30,6,4
1.102.139.17,6,10
1.106.220.147,5,7
1.111.91.45,6,9
1.114.178.125,6,8
1.115.252.205,2,1
1.117.109.246,4,1
1.122.59.43,4,8
1.125.112.8,8,5
1.127.188.176,9,2
1.129.197.72,2,1
1.138.179.125,4,7
1.143.214.187,8,6
1.152.5.111,11,3
1.155.44.151,12,4
1.163.24.16,4,15
1.168.193.111,11,10
1.172.25.149,4,5
1.185.86.53,6,4
1.191.159.163,13,6
1.194.23.178,5,7
1.198.203.112,4,5
1.206.154.156,6,4
1.207.23.160,3,6
1.219.238.130,7,14
1.229.185.179,5,7
1.232.222.168,6,7
1.233.161.147,7,1
1.241.129.170,11,2
2.4.190.195,6,2
2.7.33.253,6,7
2.7.119.118,7,20
2.8.170.105,3,2
2.14.32.135,4,6
2.38.83.29,7,9
2.43.168.98,10,5
2.45.156.11,9,4
2.45.241.36,7,1
2.61.158.102,8,7
2.64.55.25,9,8
2.65.232.60,8,4
2.70.3.137,8,9
2.79.34.197,5,1
2.81.40.29,7,2
2.81.231.243,9,1
2.83.76.160,8,9
2.85.8.4,6,3
2.86.219.128,11,14
2.106.5.78,13,4
2.110.40.228,4,9
2.112.8.117,6,9
2.116.174.77,3,3
2.122.23.177,5,7
2.123.73.92,7,3
2.130.93.77,12,14
2.132.46.94,5,10
2.139.111.106,10,13
2.146.157.244,8,10
2.151.33.250,5,9
2.163.39.221,9,4
2.171.242.103,6,1
2.190.129.106,8,7
2.207.139.14,8,5
2.208.24.101,6,8
2.210.55.6,6,4
2.223.1.94,6,7
2.225.157.87,4,9
2.235.62.215,10,19
2.239.141.42,5,6
2.239.169.226,5,10
2.240.27.176,6,10
2.244.70.170,4,19
2.246.109.87,5,13
2.249.140.54,4,7
3.2.224.27,10,8
3.7.54.240,5,8
3.12.191.184,5,9
3.29.49.2,9,12
3.44.237.3,6,8
3.50.239.150,11,5
3.53.98.200,3,4
3.59.40.131,7,10
3.73.53.143,7,2
3.74.3.234,4,6
3.76.32.10,5,9
3.76.247.152,10,2
3.87.169.72,11,3
3.96.31.210,9,7
3.99.142.197,6,6
3.100.58.56,3,9
3.103.201.231,9,8
3.111.106.140,4,9
3.112.35.98,12,6
3.115.215.77,5,6
3.119.217.22,10,10
3.127.231.10,5,5
3.129.226.238,7,3
3.139.161.30,3,4
3.139.251.147,1,10
3.153.28.139,5,5
3.159.158.99,4,25
3.167.33.184,8,6
3.168.215.165,6,5
3.173.29.173,8,10
